Votes,Score,English_Name,Favourites_count,Popularity_ranking
195766,8,Neon Genesis Evangelion,,49
114504,7,Neon Genesis Evangelion,,49
46497,6,Neon Genesis Evangelion,,49
21230,5,Neon Genesis Evangelion,,49
11849,4,Neon Genesis Evangelion,,49
5502,3,Neon Genesis Evangelion,,49
4059,2,Neon Genesis Evangelion,,49
4655,1,Neon Genesis Evangelion,,49
87076,10,Another,,50
141141,9,Another,,50
229389,8,Another,,50
210157,7,Another,,50
99790,6,Another,,50
44962,5,Another,,50
22039,4,Another,,50
9931,3,Another,,50
4879,2,Another,,50
3171,1,Another,,50
83413,10,Soul Eater,,51
146003,9,Soul Eater,,51
224153,8,Soul Eater,,51
176446,7,Soul Eater,,51
67204,6,Soul Eater,,51
28184,5,Soul Eater,,51
10024,4,Soul Eater,,51
3368,3,Soul Eater,,51
1620,2,Soul Eater,,51
1613,1,Soul Eater,,51
129211,10,Shokugeki no Souma,,52
221214,9,Shokugeki no Souma,,52
280181,8,Shokugeki no Souma,,52
151939,7,Shokugeki no Souma,,52
44532,6,Shokugeki no Souma,,52
16429,5,Shokugeki no Souma,,52
6037,4,Shokugeki no Souma,,52
2392,3,Shokugeki no Souma,,52
1400,2,Shokugeki no Souma,,52
1927,1,Shokugeki no Souma,,52
116230,10,Psycho-Pass,,53
206511,9,Psycho-Pass,,53
206203,8,Psycho-Pass,,53
98880,7,Psycho-Pass,,53
31831,6,Psycho-Pass,,53
13356,5,Psycho-Pass,,53
4933,4,Psycho-Pass,,53
1734,3,Psycho-Pass,,53
797,2,Psycho-Pass,,53
1213,1,Psycho-Pass,,53
244260,10,Tengen Toppa Gurren Lagann,,54
218470,9,Tengen Toppa Gurren Lagann,,54
170150,8,Tengen Toppa Gurren Lagann,,54
87759,7,Tengen Toppa Gurren Lagann,,54
32384,6,Tengen Toppa Gurren Lagann,,54
15497,5,Tengen Toppa Gurren Lagann,,54
6549,4,Tengen Toppa Gurren Lagann,,54
2733,3,Tengen Toppa Gurren Lagann,,54
1549,2,Tengen Toppa Gurren Lagann,,54
2311,1,Tengen Toppa Gurren Lagann,,54
197875,10,Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai.,,55
237401,9,Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai.,,55
219094,8,Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai.,,55
117001,7,Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai.,,55
